Customer ID,Postal Code
LO028977,S8
OH046670,DN36
FH015492,RG20
ZZ015342,BH21
TV075977,LE15
HL006234,BT66
AA070185,S8
EG051605,WC1B
UF034417,PH43
CG060898,LS9
EE025228,M14
CX034161,BD23
LT073005,W1F
YL006843,BD7
YL065975,DT10
YC083120,PR1
BT046086,DN22
WL011058,NR34
XT003630,NN4
ON076441,GL54
TI096309,B40
AM053527,L74
GA094839,TF6
CA010518,CT16
RC069836,BH21
XW060260,BD23
FR008830,DT10
YC016347,BD23
PW001906,CT15
LV083814,EH52
YO052337,WC2H
YJ078139,DL8
QP093917,BD23
LM010826,BD23
IA020578,TF6
SZ015455,AB39
DU053934,S8
FR010822,NE46
PO009558,CT15
MC022478,L33
LT063474,S1
PN010412,NN4
IR004773,M34
ES037170,AB55
XH062520,KW10
ZX008337,AB55
DI067107,IV1
LE047809,B12
EB064981,ST20
KX027147,NG22
IL009957,NN11
AC082690,EC3M
VA049493,SW1E
ZJ097568,WC1B
WZ006306,CV35
XJ066938,SG4
MQ028717,DL10
NB014517,NG22
PB063442,ST20
UA071149,EC3M
DT034609,CV35
AS095657,PH43
LT061731,BS37
RU058520,B12
WT037292,BD23
DF076925,M14
CM032751,L33
OF087559,CB4
BD074505,LE16
MJ019298,BD7
OC007575,B40
JQ000431,BS14
JX027350,BD23
AC065424,BD7
QR064670,RH5
IL085160,L33
TV097382,GU32
RV043501,CV35
LJ099998,LS6
NF066979,LN6
CY070612,LE15
DO001772,SY4
QJ030114,BS41
AP095673,BD23
RO013242,BD23
EF042732,CV35
TA007457,SY4
SE071898,SG4
HF000394,L74
YD055268,SG4
SJ097729,DN22
MU027586,B12
CH053616,AB56
SW066440,CT15
LR063902,B40
YK006641,WC1B
QP097532,S8
PW078874,L33
UX079399,AB55
MR095188,B40
KP021070,NN4
CJ007867,NG34
ON014862,OX7
XE095413,DL10
CI029431,CT16
VQ012259,SN13
MX021696,GL54
YX078642,DL10
DG015801,SW1E
GO006694,EH9
PS058519,TF6
YR000590,SW19
RK016062,NN4
VO026219,EC1V
JY078378,PR1
AC032117,SW19
AG018641,IV1
VQ077263,DN21
JA054648,DL10
MB099438,PH43
HU066299,EC3M
NH032711,IV1
GT004985,M14
XB095293,SY4
VY088461,BT2
AK047185,BS37
RP069641,S1
LY032208,LE15
FZ057864,GL54
TK000744,EC1V
UM003359,CH48
BK006338,BD23
SL056460,LN6
LW071445,SY4
OA076119,BT66
IC023332,LN6
XT059837,SN13
RJ028775,B40
YU047262,NR34
LH034480,NG22
IN017659,BD23
XQ042731,NG34
EO027251,OX7
GL049016,IV1
AX035056,NR29
QZ098914,PH43
BW040945,CT16
RG074102,DL8
JJ088756,BS37
MX029359,LE15
NV061613,N3
RL033705,NN11
QY049868,AB56
PC066841,TF6
AW056186,GU32
QN014838,BS37
YB068814,CB4
EY021607,PR1
FX080042,GU32
PH033131,WC1B
KI039617,GU32
CX029462,WF9
TU039036,S1
VH068058,EC1V
IJ021121,GU32
AO040681,NR34
GF083063,DN36
IM018779,NN11
WW058734,B12
VN077787,OX12
NS069640,BD23
DV035511,WC1B
VL030233,CV35
XI060063,EH52
EQ042956,BT66
WV028647,WC1B
LZ016012,PH43
TD068892,CT15
UB006545,B12
MI077636,OX7
DS088458,SN13
BJ097202,G4
IE054911,KW10
LY095086,LS6
BK070785,S33
XX019740,DN22
PQ042587,L33
IK076547,RH5
KT034728,NR29
DE053807,WC1B
MG032187,DN21
GE099058,L33
RH078718,KW10
GE054896,SG4
FG094679,LE16
AU020860,N3
WE015191,EH52
CT082216,GU32
GD051430,EC1V
CS092679,LN6
HH019414,AB39
BC098676,KW10
EL072097,BS14
EH003110,SG4
SC091752,DT10
AH043184,BD23
IA056476,DN21
WI076001,SY4
KF007013,WC1B
ZO077373,G4
CZ054222,BT2
LI027396,DN22
AP000049,LE15
HY047879,LS9
UI012965,SW1E
IG071259,M14
OS093484,WF9
XW065274,NG22
LH043536,AB56
ES011889,OX7
WX069469,OX12
VZ013231,AB56
ZU048884,NR29
FY080136,LS9
OS018365,EH52
QC015889,M14
RV066355,DL10
FA035790,BD23
KR032421,EH52
DU007963,NE46
CK064882,S8
QA056461,SY4
YH023012,BS41
MM027639,S33
SY098673,PH43
RU014698,LN6
OK062011,BT2
PB085687,BT2
UF054954,RG20
BS091864,L74
XF023093,RH5
MT028981,NG22
OI064452,WC2H
EW092810,IV1
OR048214,LE15
FQ076657,L74
HB010382,BH21
UU017077,CV35
KX038689,BD7
QP099191,DN21
ZK018032,CV35
PK032320,TF6
IZ050669,LS9
ZU044069,AB55
PD029610,LS9
EA084656,SG4
BQ020024,S8
ON036523,RG20
DG084549,EH9
SH044828,BS41
HC025261,BH21
UJ056106,S1
TF040283,SN1
ON085793,OX12
KW041893,RH5
FL017847,BT66
AS023969,RG20
EZ016172,BD23
MZ059755,CB4
SV087663,DL10
LB094313,AB56
FR022820,N3
PL062395,B40
QJ086664,CV35
QP011273,EC3M
UD042022,RH5
FC017934,SN13
QU055720,CV35
DK052714,BD23
ZD091276,BS37
BE030274,M34
HS084179,RH5
YR022592,RH5
JW093275,CT15
JD036953,B12
NG048278,B12
IP099218,IV1
UG081307,BD23
VH082132,IV1
EG074592,DL8
XX025759,BD23
DA056215,L33
FV080737,AB56
YG065949,PH43
KF020921,CB4
IU068896,LE14
MC053747,AB55
IO007481,SG4
MI051892,PR1
ZG005436,B40
KM028653,LE14
UT094280,SY4
IW074591,LE15
AM087505,WC1B
KE097740,LE15
WJ002428,KW10
LR047669,CT16
KD049859,NR34
OH082802,B12
ET081928,M14
AI086285,IV1
DM011507,NR29
CN007665,AB39
GQ074380,CH48
QD096193,BT66
VH053108,SG4
JK055353,BS37
LZ057158,BT66
OA095700,CV35
PB056769,DN36
JJ041546,CT15
ZT038141,GL54
SC035811,DN36
FQ085678,M14
AZ010927,AB39
DP081891,NE46
HT032845,GL54
UQ060377,LE15
DL069151,KW10
GL001659,BD7
LR010971,DN36
ZT062653,SW19
UD058328,PH43
LC070027,WF9
PT027115,DT10
YY017812,S8
UE086249,OX12
DM025201,WF9
FH008167,WF9
JD087400,SG4
YL039169,PH43
DB007527,OX7
MQ026669,BT2
WU037718,LE14
IK020923,NG22
YZ074670,L33
GV013637,EC1V
IB052398,B12
ON048367,AB56
QA083352,L33
IS067894,B40
OC075408,BD7
RW041477,BH21
WC070179,GL54
TM070339,TF6
CN088504,W1F
ME069506,EC3M
EQ091946,M14
ZE046661,L33
LJ093742,NE46
TP022524,PR1
MS069774,SN13
GS009902,DN36
EP001992,EH9
QR018108,L74
GH074116,N3
AO030069,CT15
RZ091372,OX7
KS066223,CV35
OF068322,RH5
OO095727,LE16
VY006474,GU32
JW081156,EC1V
MG062062,EH9
GR028974,S1
NL063938,DN21
DB069706,W1F
FB057385,BT66
HQ099406,DT10
AZ052103,BS14
WD060968,EH9
JC064172,M34
IE078913,DN22
VC082663,RG20
VG072993,M14
ZG023359,BD23
WN068197,W1F
VS093416,LE16
NW031911,CV35
HG027398,OX12
UD072234,WC2H
NT059759,OX12
FF057242,LE14
DF037287,BD23
IQ056746,AB39
LA090979,DT10
XS071006,RG20
RK023565,BH21
WQ052828,S1
VE090029,IV1
WG067728,GU32
ZC050595,PH43
AZ097587,DN36
BT027523,OX7
PV023147,DN22
VN096733,EH52
VB070907,SW1E
QP008397,OX12
ZN096535,DN22
MZ028353,CV35
FO087533,NN4
ZV019823,S1
UF084710,SW19
QT054547,SN13
PM034573,DN21
KA066426,IV1
LO011592,S1
TQ065665,LS6
OC000381,DN22
QV089026,EH9
NI003473,NN4
CN044542,W1F
CW051396,AB39
ON002990,L74
IR005341,L74
DS078483,SW19
CP050234,NR34
CS060883,EH9
NG091342,BT2
HH062390,M34
ZR069261,LS9
PS010060,CB4
RG061998,M14
PC005521,AB55
TW023701,S1
NL024977,WF9
QP093451,EC1V
BJ071974,PR1
GH044368,BT66
AI061783,GU32
FQ069496,PR1
OC045781,WC2H
BF080088,CT15
WI001306,BD7
LG018760,WC1B
DG054831,EH9
KE050319,RG20
MG006726,DN22
EH051958,RH5
QW076708,BS14
YE054365,DN21
MC047623,NR29
UK042725,SY4
KI089155,IV1
SE083704,BD23
OK059668,LE15
JZ004144,CT16
MG053337,CT15
OF005773,NR34
XR044405,BS41
KO026744,NR29
SM003639,AB55
MY031639,N3
IR066002,LE15
RV058410,NG22
BK006288,OX12
WO032878,S8
MB036703,LE15
XN095451,N3
XN030548,S8
DV074616,DL10
SI013737,TF6
FX008936,TF6
XY043257,EC3M
FT074520,ST20
OS066663,S1
HV059622,NE46
TB077884,NR29
YR037106,EC1V
ET068053,G4
TB024905,EH52
VY009268,EC3M
OZ054329,W1F
VF050364,BD7
SL008646,NN11
KO032054,NR29
WL067890,OX7
AI055492,BD7
VG036239,NG34
QM000750,SN1
WQ029470,LS9
ZG008283,LE16
AK027382,S33
GC044645,KW10
KE034482,EH52
QU056853,PR1
ZH026809,NR34
GQ006805,AB56
HJ046803,S33
FR079188,NE46
PS061538,OX7
TT026883,NG22
CX043819,SW1E
JV020938,NG22
XS041385,RG20
TE030635,SY4
CI040986,S8
ND084324,S1
ER081600,RH5
TX016353,CT16
JS015887,EC3M
XM060019,SN13
CM008593,B40
KS006371,AB39
GA046351,PR1
HH028598,NE46
BI005400,B12
BV017983,AB55
FH010316,CT16
DM054202,OX12
CJ020981,WC1B
HT052318,WF9
UU017281,BS14
HD083057,LS9
LN083434,M14
BJ048509,DN36
TC059259,CV35
HQ041440,PH43
ZD058102,WF9
WS028428,LN6
HG039736,N3
FA008596,EC1V
MC028199,TF6
SQ020021,LE14
QX021876,BH21
YV071393,EC1V
YF016486,BS41
RB058689,CT15
IC043696,TF6
TS091132,GL54
LT089054,NE46
YJ031445,LE15
NA086086,GL54
JA013201,CB4
ST025617,S1
BU037763,G4
RQ001428,AB56
WX098476,RG20
HN087906,BT2
IW015212,BD23
QO092485,CT15
IG072578,AB56
QA056156,DN21
DG077949,EH9
UN049674,NR29
IB003332,N3
XO043540,ST20
LF026434,SW19
IR034127,CV35
YX008923,EC1V
XF009015,OX12
AX023223,LS9
OJ070002,DN21
FP077912,LS6
KM010380,NE46
CY080029,BS37
MP039738,NN4
PU073770,RG20
XP047703,B40
UQ041561,B12
QV002659,EH9
SD058722,NR34
RB087794,BD23
ST070258,BS37
PR048585,B12
ON087532,IV1
MC063078,GU32
GE075251,SY4
NN069494,WF9
ID044410,CT16
EB020382,L74
IK074906,SN1
ZK040265,EH9
AN082631,AB56
EW044272,TF6
OB060281,WC1B
PA050829,PH43
QH079879,CV35
UN029150,BS37
NN020680,M34
TS050001,BT2
KB068044,SY4
BB052572,DT10
TX089640,M14
BB066880,TF6
BP098394,SW19
DZ023531,ST20
TI089468,LE14
YG071594,SY4
MU076273,NG34
RT001473,B40
BG041780,S8
VL083988,SN13
HJ060494,SY4
AZ031509,OX12
SS011385,BS41
DC079292,LS6
IM046831,BD23
PF020673,DT10
HJ024431,BT2
ZI012690,NN11
EI066899,DN22
CA001530,LS6
VN032443,SW1E
TZ055834,NG22
LQ023488,ST20
BK071778,SW1E
BC021992,DT10
SJ093928,RG20
KN081054,B12
UQ072061,BS41
DC012809,CT15
UV068800,CT16
PV059813,CB4
UT075766,G4
AY077572,IV1
NK041669,L74
CU022928,S1
XA024137,LE16
JM093006,PR1
EG007010,DN36
TO031732,S33
XB009407,EC1V
OR084810,L33
LE096161,M14
VA029829,BT2
IB011406,PR1
IN090564,WC2H
AK060338,NR34
VY052710,EC1V
GD009361,BD23
QV096048,DN21
QL014779,BT2
NW002733,CV35
RO053923,DT10
US021421,GU32
HO054448,OX7
VN053890,IV1
TU097281,LE15
BS082621,LS9
TY072354,EH9
RM099500,NG34
HW036564,LS6
PE086541,WC1B
JH085942,NR34
TV011085,NG34
RI069894,LE15
DO033037,S8
SL054004,SG4
TJ027077,N3
NM018346,BT2
ST096711,SY4
OA038346,S33
ZN022267,EH52
MS079836,NN4
YA035366,WF9
LH092415,PR1
OB095351,WC2H
PI019771,SW19
XK084873,SW1E
VO033812,S33
QV040850,TF6
NJ003936,AB55
ZK023557,OX12
WE040394,W1F
TR039952,CH48
GZ076830,M14
EE008914,M34
DX009532,G4
BB040839,L74
NQ012592,IV1
ML088845,B12
NV075312,M34
DX081067,OX12
SG001338,M34
VL091300,B12
MV082790,NR34
NX088510,CB4
EJ013555,W1F
VO007288,DL8
AF019285,PR1
WK003264,LE15
OL032772,IV1
IU070986,DT10
NK062797,BT2
WI096964,CV35
WY056153,BH21
UE005686,BD7
FX082593,DL8
LQ034862,PR1
HU071636,WC1B
TU074841,M14
KF000783,M34
ZD092860,BT2
DT019771,CT16
BB069028,CT16
SR096075,DN36
HW000008,NG34
SB024310,BS14
UZ002058,BS41
GT071613,CB4
AX069026,L74
HJ026970,WF9
HQ023430,NR29
MY094022,LE15
UR098924,BT66
ZX004486,NE46
II051569,LE16
WK092369,GL54
PB010207,CV35
CN039794,BT66
XS016671,NG22
QH024668,SW1E
RI031264,L74
BS024490,LE15
WT084998,OX7
QO024751,EC1V
SC069071,SW19
JO052743,RH5
UW077123,B12
OZ012109,DN21
WT058790,PH43
OJ080479,LS9
HJ006190,EC3M
GL088592,EH52
KH039882,KW10
DM035468,AB39
CN030440,BH21
AD017673,CT16
XZ010402,BT66
CY049651,IV1
DV041444,DL10
RK091281,IV1
BH009963,BT66
VS016651,EC3M
FM067933,WC2H
OF015688,TF6
UT007875,EC3M
CD028083,WC2H
ON040564,BS14
MU091976,AB56
KS059528,B40
XH043014,BS37
HE071631,IV1
OD043412,NR29
WW015228,BT2
HV019230,B40
SK025091,EC1V
AM074484,OX7
FK057149,BD23
CO084555,PH43
NY015731,G4
BE037041,EH52
WI001565,SG4
KA049557,DL8
AM051796,M14
FU020103,LS9
NE072843,LS6
PL019616,NR34
CN022315,AB39
YV012185,BT2
UN035957,NR34
LT006441,KW10
NI025124,SW19
VS019486,PR1
TL018221,NG34
BU095410,CT16
WO042258,AB39
SG050745,EH9
KA083039,S1
UX070690,SN1
NJ058700,LS9
BE033170,BS14
UF016951,BD7
UJ044231,SN1
CW024266,PH43
KW071085,LE15
IF076535,N3
EG020433,NN11
LE077334,NR34
OO019114,LN6
ZM096349,NG22
HR022991,CH48
CY092341,AB56
YN000504,SW1E
PQ079827,LS6
ZP076215,SN1
GL023239,BD7
IX039478,WC2H
OP052267,BD7
VD041122,BH21
JH027246,M14
JX093141,CB4
US065332,LE16
TV093817,IV1
UH020305,DN36
ZP067856,S33
AB096777,NR34
IZ041233,KW10
HP088099,ST20
BG017774,SW19
QR088578,RG20
DI072036,NG34
PT063534,CT16
JB063602,S1
QD000055,CT15
ML060791,RG20
FE082197,SW1E
TN018015,ST20
HK081970,NN11
VD043710,BH21
OD062195,B12
HU035037,EH52
OF051138,BD23
RT015937,KW10
MP053511,PR1
KG064314,BD23
TV076688,NG22
NL035212,CT16
WB014883,NN11
ZH028698,CT16
NU031894,CV35
ZN007702,L33
QC069684,EH9
UI025016,CV35
FD061951,GU32
WQ050928,SW1E
DN020744,BS37
FJ084048,DN22
CY012864,PR1
QP036940,SN13
MN019433,NG22
MD006931,SW1E
ES056286,N3
ZI082420,LE15
DH074723,SG4
FS055715,GL54
AI008633,NR34
WP043997,BS37
AG068508,LE15
GR033260,WC1B
RW001493,SW1E
AH071849,NR34
BM069215,CB4
EZ005059,SN1
ML033957,SN1
EY083295,CT15
IM044650,W1F
UO042002,SY4
DJ041197,BD7
WZ014136,PH43
VU031210,WF9
KJ002476,LE15
HP015456,L33
XB052719,AB56
HN089985,L74
VF013578,LE14
SS091192,DT10
XG076037,W1F
ZG019693,B12
LS048805,CB4
UC075007,W1F
YM089156,PH43
OS069096,B12
GE015518,S8
NW022043,DL8
EH020972,AB55
EQ058718,BT66
FC077811,WC1B
KR024064,S33
ID047198,NG34
BE061647,L33
EI086296,NE46
RZ048453,AB56
DJ089474,L33
WA005888,OX12
CU077945,OX12
XV019141,WC2H
NY009702,OX7
HO095696,G4
RL088597,LS6
MJ023223,N3
NJ066973,PR1
KM030821,DN36
ON084409,DN22
KU064350,CT15
QB095004,ST20
RI023058,SG4
JE056872,LE15
LJ002087,SN1
HI017121,EC3M
RD009368,B12
IC037857,DL8
VD020504,G4
EY052169,NR34
SV090268,SG4
BB018473,CV35
AB037649,B40
WM050284,CV35
DO073476,B40
LI092422,LS6
KW089672,LE14
MT070563,L74
HM028057,CV35
VB010167,W1F
PB030441,BD23
MH079894,NN11
PD039339,M34
TM016470,LS6
DB032017,EC1V
UB055620,SW19
TA075580,PH43
MA015531,M14
OK019350,DL8
WK027931,DN36
DS052517,GL54
FO090266,B12
CI022677,CT15
JW090494,OX12
CD025751,DL8
TJ065170,EH9
MJ046433,EC3M
JA071946,EH52
LQ030733,GL54
GK002281,AB39
SV028385,KW10
BY084090,CT15
EK001315,CV35
OL051265,NR34
TB033346,GU32
UK084853,EC1V
XY099559,SW19
QK011998,BT66
JP014893,KW10
ET066631,M14
UK043146,LE14
TL087585,NE46
FF005406,SW1E
OD068167,PH43
KM060085,DT10
EU072161,NG34
FE005308,NN11
OF065082,GL54
XZ039413,GL54
QE055904,PH43
ZN044266,LE15
JA043818,BD23
LC083926,BD23
UP033830,BH21
RB085862,SG4
UV014614,BS37
LN093720,N3
OZ010719,M14
QH097165,DT10
TV027066,AB55
JX088983,EC1V
VH069825,BT66
FE068654,M14
SV020317,KW10
YE085512,SW19
JF082197,AB39
TW046151,IV1
NY000158,SG4
DE037740,CT16
TG057492,S8
RV094330,G4
VQ022764,M34
BF011946,B40
GR013853,AB55
FX024302,EH52
DC062483,M14
XR053256,CH48
BY015380,SW1E
MA071301,M14
GB048497,AB55
WQ026223,LE15
OH052826,IV1
WP005240,NR34
KP075796,S8
GT094069,SW1E
CS062668,NR29
SQ012620,DN36
EC082879,LE14
EC073665,SW19
BS041004,CT16
KO026009,B12
SK069393,LE15
CV050185,B40
NS050281,AB39
FB017220,LE16
OX028733,WF9
BH051558,BS37
TD022773,EC1V
IT060395,TF6
EC023699,BS41
TL094123,BH21
YE056156,TF6
JX035609,NE46
JK073255,WC2H
GU068229,GL54
NO061115,CH48
RH091056,BS14
XP059026,BT66
WM098875,BT2
BW070185,N3
VJ044865,CT16
WE022231,AB56
ZX011281,CB4
HT054255,SG4
WJ028001,WC1B
JA025925,DN36
ZZ038073,EC3M
KI071073,S1
VW049815,EC1V
VN053462,LE14
SO014368,OX12
VO050040,N3
PI013145,M34
BB034030,LN6
YR051031,WC1B
TS016028,BD23
GI077536,AB39
RX020470,L33
LQ014108,CB4
QP039114,LE14
AR080205,BD23
VP069504,DT10
HU076125,LE14
XF021035,BS37
FB065898,WC2H
SG039360,SW1E
FQ012040,AB55
GL088865,PH43
DN065667,LN6
PH007244,GL54
AK052576,DN36
WH063347,WF9
UZ041116,CT15
UQ033256,SW19
VY028571,LS6
BP009480,NG22
SX073160,NG22
DB016992,S1
NA063350,EC1V
IC043400,BT2
CE049433,BD23
SZ028845,S1
QX063911,B40
KJ087516,CT15
YC086368,L33
FS025615,SW19
EU081196,BS41
OI044600,WC1B
TE085685,SN13
BQ000218,LE15
JU097456,BT66
AN067903,GL54
SA018814,N3
UD018779,CH48
DH029445,DN22
XU003449,EH9
WS048825,BH21
XT079740,B40
IY088933,B40
FR097644,NR29
AH010274,CV35
WB038596,CV35
EH082528,S33
VA068865,CT15
KF095712,NG22
AW002721,BD7
XL007458,LN6
HS079253,LE15
ZM067254,GU32
QU064323,BS37
GZ075930,LE16
XA015610,CT16
QG032787,BS37
BH069063,S1
GT096217,RH5
NL026223,M34
VL086290,BH21
VA096935,SW1E
AI087863,OX7
WF009587,BD23
SJ036890,S8
ET028434,M14
PA056440,SW19
IF065494,AB56
HD049219,NR34
ZU040871,GU32
VR073461,G4
DN090133,LE15
UB099492,DL10
KV079867,S33
VX036428,N3
TB042465,CT15
FM007562,SN13
IR090467,CT15
YJ015564,PR1
GF046966,BT2
EN095499,EH52
NN085761,DL10
FM038251,BD7
FP094467,EC3M
BO084720,OX7
UP072366,NR29
PD057509,DN36
JK054984,WC1B
MU012349,NE46
GN005894,DL10
KS085086,SN1
PI058311,NG22
UB091894,CT16
NU019767,ST20
ZV090686,SW1E
IR042162,DN21
QY014273,LN6
GI052318,BT2
HX004230,LE14
VS020667,WF9
ED077243,WF9
LS079402,NN11
JW035277,WC1B
WY083017,EC1V
JF074393,BT2
QO037228,LS6
KZ037486,EH9
QS051387,CT16
AB038835,OX12
LW093996,DN22
JX021513,BD23
QP035792,M14
ZF067165,BS14
SV026652,LS9
RR095548,NR29
EN046189,WC1B
ME013240,SG4
GH031815,BS14
OA021360,SY4
VP039957,EC1V
JC078143,SN13
QJ084755,EC1V
MN070519,NR29
TS055510,M34
WQ043317,EC1V
YV090940,DN22
DN003667,NN11
ZU012906,CT16
QO078955,NE46
PC098340,WF9
SD067440,NE46
LB002042,KW10
VN016029,LE14
PH066906,LE15
QS013205,EC1V
JD000821,CB4
PV010035,EC3M
EP091516,S8
LG075926,LE15
LA010216,LS9
EE091486,CT16
IE054962,PH43
ZA078978,CT15
JZ045419,SN1
CY035064,PH43
NP082528,NN4
AP043204,WC1B
AD018781,RG20
LS042628,BS37
JO021400,W1F
WY045209,GL54
JT099759,DN22
YA023094,BT2
LT091754,SN13
WB006787,CT15
JX052250,G4
HK012695,LS9
XS079360,BH21
MZ022736,OX12
LZ099567,SY4
XQ061161,NN4
ZE028699,RG20
BG067938,NN11
PC009344,G4
GI045942,ST20
YR079674,S8
AV098482,AB55
RN011633,BS14
RV027833,LE14
KW047861,L33
TL082440,GU32
GW030557,BS14
XM073152,GL54
SO064414,BD23
XH089973,LS9
ML099661,BD23
AT000491,NR29
ZG086891,EH52
MM030737,LE16
PJ007525,NE46
AA082538,CT16
IJ087400,BD7
RL011860,DN21
OJ054177,DL8
QJ021663,SG4
CI063538,PR1
KG094838,LE15
XM072486,BS14
QD064688,CH48
RV090685,SN13
FI092285,W1F
HY027178,DL8
ZD013772,BD23
